bag,person,scene,mode,force_topic,command_topic,reference_topic,duration_sec,force_mean_abs,force_p95_abs,force_variance,force_std,force_impulse_per_s,force_gt5_pct,force_gt10_pct,force_gt15_pct,zero_lag_force_cmd_corr,best_lag_sec,best_lag_force_cmd_corr,best_abs_force_cmd_corr,odom_mean_vx,odom_std_vx,odom_accel_p95_abs,odom_jerk_p95_abs
JH_scene1_admit,JH,1,admittance,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,36.50001764297485,9.280608452198921,20.693260586092713,138.13793219633936,11.753209442375276,9.280507579332244,68.40941751489117,40.7988590330148,18.507257231803543,-0.23071724776362126,-0.49999999999999867,-0.34803559122334754,0.34803559122334754,0.5553072961879035,0.1871255649226519,2.3370001478263944,196.29153881515268
JH_scene1_key,JH,1,keyboard,/laica/teleop_debug/zeroed_force,/laica/teleop_debug/command_velocity,/laica/teleop_debug/reference_velocity,47.94886803627014,11.489241633698011,35.977505214155045,230.35706592559933,15.177518437662968,11.663738168306159,56.713536165063886,39.2334720069757,27.444438951871415,-0.665794216154683,-0.25999999999999845,-0.6714055432516834,0.6714055432516834,0.44254913692758335,0.26060833838246916,2.445336811367974,196.69056068814453
JH_scene2_admit,JH,2,admittance,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,34.659903049468994,9.696174653381462,30.263135956146165,167.32054121564468,12.935244149827428,9.696825117676886,63.96219371891492,37.54446539680045,18.92188890306327,-0.3290106882617282,1.0400000000000027,-0.4644028171008513,0.4644028171008513,0.564426457900155,0.1926084498003873,2.525286197883392,202.72311234409165
JH_scene2_key,JH,2,keyboard,/laica/teleop_debug/zeroed_force,/laica/teleop_debug/command_velocity,/laica/teleop_debug/reference_velocity,35.346776723861694,11.544571234623367,30.772248103731112,216.54417363380958,14.715439974183903,11.535795683513646,76.0511841014879,48.128316488634596,24.936173904102628,-0.6677116708906633,-0.23999999999999844,-0.6748788183670978,0.6748788183670978,0.5905947579610827,0.2075133845433024,2.4178061314211634,204.78660142074847
JH_scene3_admit,JH,3,admittance,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,37.680134296417236,9.376598197629477,29.08137042990033,153.76623900484964,12.400251570224277,9.376849081674804,62.16683536513254,35.220643487506834,19.365148211199323,-0.31186655158116844,-0.35999999999999854,-0.41337670444958446,0.41337670444958446,0.5767402036187136,0.20646137413005525,3.110520870256498,274.908013830949
JH_scene3_key,JH,3,keyboard,/laica/teleop_debug/zeroed_force,/laica/teleop_debug/command_velocity,/laica/teleop_debug/reference_velocity,42.323586225509644,26.335322474196733,54.681506116779104,272.4903555607714,16.507281894993234,26.35876093177381,92.4369755843482,84.5166066949966,73.59335913228071,-0.5400148613994682,-0.1999999999999984,-0.5552907381825372,0.5552907381825372,0.5500258846491698,0.21084187002464042,3.172218343621538,291.3113097989748
JH_scene4_admit,JH,4,admittance,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,42.08038282394409,8.921565536241033,22.60657207641196,132.68904284145069,11.519073002696471,8.919616848992808,65.23404576163776,38.22666325642454,16.41304557606936,-0.4212796610381967,-0.45999999999999863,-0.5915909487270729,0.5915909487270729,0.5402763247931517,0.17699445795163532,2.413723101156252,196.92461587856224
JH_scene4_key,JH,4,keyboard,/laica/teleop_debug/zeroed_force,/laica/teleop_debug/command_velocity,/laica/teleop_debug/reference_velocity,41.02660894393921,16.62410809509838,43.67997177674232,262.1003968655337,16.189515028731826,16.611093072651215,77.20840259210318,58.89618129978921,45.43133865396219,-0.4982197147631725,-0.17999999999999838,-0.5079177965564706,0.5079177965564706,0.5597581612156441,0.16202288933581424,2.357184948138054,198.6054945726878
JH_scene5_admit,JH,5,admittance,/laica/debug/zeroed_force,/laica/debug/command_velocity,/laica/debug/reference_velocity,49.66038155555725,15.386220403085707,39.85658406125827,198.96922952946807,14.105645307091345,15.385844990535588,76.17067008062062,58.779556317640285,44.074885936320854,-0.4067951874716696,-0.37999999999999856,-0.5523284816687631,0.5523284816687631,0.4748269841436621,0.16027238969395155,2.3502038484834213,195.32860743547957
JH_scene5_key,JH,5,keyboard,/laica/teleop_debug/zeroed_force,/laica/teleop_debug/command_velocity,/laica/teleop_debug/reference_velocity,43.50691318511963,13.863428207495298,36.32865952123538,267.2070780433637,16.346469895465617,13.847769303161968,79.33654791561466,56.361090259054095,35.792434546106826,-0.6605650210261947,-0.2999999999999985,-0.6867930605104551,0.6867930605104551,0.5673792518394317,0.16378818921091792,2.1524597623371235,158.99275981579686
