bag,person,scene,mode,force_topic,force_gt10_pct,force_gt15_pct,force_gt20_pct,force_gt25_pct,force_gt30_pct,force_gt35_pct,force_gt40_pct,force_mean_abs,force_p95_abs,force_max_abs
JH_scene1_admit,JH,1,admittance,/laica/debug/zeroed_force,40.7988590330148,18.507257231803543,5.641283862444384,3.452282836200305,2.1376894751343483,1.316445478455912,0.6550202147808551,9.280608452198921,20.693260586092713,55.59663517218542
JH_scene1_key,JH,1,keyboard,/laica/teleop_debug/zeroed_force,39.2334720069757,27.444438951871415,20.90709043803326,14.642000837616559,9.384168323740514,5.680196642526386,3.551311103096955,11.489241633698011,35.977505214155045,67.1916341141551
JH_scene2_admit,JH,2,admittance,/laica/debug/zeroed_force,37.54446539680045,18.92188890306327,12.174520252753007,8.651881987254992,5.241354394048946,2.362412360644016,1.0382360957233223,9.696174653381462,30.263135956146165,56.23763915614618
JH_scene2_key,JH,2,keyboard,/laica/teleop_debug/zeroed_force,48.128316488634596,24.936173904102628,12.644843965439252,8.618868019551632,5.368553333082667,3.7776139024863964,2.1389198211108047,11.544571234623367,30.772248103731112,54.66052540373114
JH_scene3_admit,JH,3,admittance,/laica/debug/zeroed_force,35.220643487506834,19.365148211199323,11.884098018008387,7.7994864855104415,4.509618339023891,2.231884071077437,0.6897602153469933,9.376598197629477,29.08137042990033,49.88135402990035
JH_scene3_key,JH,3,keyboard,/laica/teleop_debug/zeroed_force,84.5166066949966,73.59335913228071,62.15892458196988,49.530702803481496,38.625293554565076,26.91985844065637,18.639761102323835,26.335322474196733,54.681506116779104,90.6766873167791
JH_scene4_admit,JH,4,admittance,/laica/debug/zeroed_force,38.22666325642454,16.41304557606936,7.123133057795676,3.4668517805052064,1.3754804345852374,0.8528455753807278,0.3318484841290998,8.921565536241033,22.60657207641196,52.18738707641196
JH_scene4_key,JH,4,keyboard,/laica/teleop_debug/zeroed_force,58.89618129978921,45.43133865396219,33.95674466784375,23.40148566854915,17.00556757165283,11.03106551099324,7.5965679463118745,16.62410809509838,43.67997177674232,65.98305707674231
JH_scene5_admit,JH,5,admittance,/laica/debug/zeroed_force,58.779556317640285,44.074885936320854,30.7540348017347,20.571949424568338,13.0842743304819,8.172605940244745,4.9494090722078505,15.386220403085707,39.85658406125827,69.11894531125829
JH_scene5_key,JH,5,keyboard,/laica/teleop_debug/zeroed_force,56.361090259054095,35.792434546106826,21.16553645494603,13.882708939299196,9.623229025701326,5.773531219552075,3.199320739779682,13.863428207495298,36.32865952123538,61.83326652123538
